// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Canadian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// o => ou (color => colour, mold => mould)

chiseling ~ chiselling
councilor ~ councillor
councilors ~ councillors
counseled ~ counselled
counseling ~ counselling
counselor ~ counsellor
counselors ~ counsellors
crenelate ~ crenellate
crenelated ~ crenellated
crenelates ~ crenellates
crenelating ~ crenellating
crueler ~ crueller
cruelest ~ cruellest
cudgeled ~ cudgelled
cudgeling ~ cudgelling
dialed ~ dialled
dialing ~ dialling
dialings ~ diallings
disemboweled ~ disembowelled
disemboweling ~ disembowelling
disembowelings ~ disembowellings
disheveled ~ dishevelled
driveled ~ drivelled
driveling ~ drivelling
dueled ~ duelled
dueling ~ duelling
empaneled ~ empanelled
empaneling ~ empanelling
enameled ~ enamelled
enameling ~ enamelling
equaled ~ equalled
funneled ~ funnelled
funneling ~ funnelling
gamboled ~ gambolled
gamboling ~ gambolling
graveled ~ gravelled
graveling ~ gravelling
groveled ~ grovelled
groveling ~ grovelling
grueling ~ gruelling
gruelingly ~ gruellingly
imperiled ~ imperilled
imperiling ~ imperilling
initialed ~ initialled
initialing ~ initialling
jeweled ~ jewelled
jeweler ~ jeweller
jewelers ~ jewellers
labeled ~ labelled
labeler ~ labeller
labelers ~ labellers
labeling ~ labelling
labelings ~ labellings
leveled ~ levelled
leveler ~ leveller
levelers ~ levellers
leveling ~ levelling
libeled ~ libelled
libeling ~ libelling
libelous ~ libellous
marshaled ~ marshalled
marshaling ~ marshalling
marveled ~ marvelled
marveling ~ marvelling
marvelous ~ marvellous
marvelously ~ marvellously
modeled ~ modelled
modeler ~ modeller
modelers ~ modellers
modeling ~ modelling
modelings ~ modellings
paneled ~ panelled
paneling ~ panelling
panelist ~ panellist
panelists ~ panellists
parceled ~ parcelled
parceling ~ parcelling
pedaled ~ pedalled
pedaling ~ pedalling
penciled ~ pencilled
penciling ~ pencilling
quarreled ~ quarrelled
quarreling ~ quarrelling
raveled ~ ravelled
raveling ~ ravelling
refueled ~ refuelled
refueling ~ refuelling
refuelings ~ refuellings
remodeled ~ remodelled
remodeling ~ remodelling
remodelings ~ remodellings
reveled ~ revelled
reveler ~ reveller
revelers ~ revellers
reveling ~ revelling
rivaled ~ rivalled
rivaling ~ rivalling
shoveled ~ shovelled
shoveling ~ shovelling
shriveled ~ shrivelled
shriveling ~ shrivelling
signaled ~ signalled
signaling ~ signalling
signalings ~ signallings
sniveled ~ snivelled
sniveling ~ snivelling
snorkeled ~ snorkelled
snorkeling ~ snorkelling
spiraled ~ spiralled
spiraling ~ spiralling
squirreled ~ squirrelled
squirreling ~ squirrelling
stenciled ~ stencilled
stenciling ~ stencilling
swiveled ~ swivelled
swiveling ~ swivelling
tasseled ~ tasselled
totaled ~ totalled
totaling ~ totalling
toweled ~ towelled
toweling ~ towelling
towelings ~ towellings
trammeled ~ trammelled
trammeling ~ trammelling
tranquility ~ tranquillity
tranquilize ~ tranquillize
tranquilized ~ tranquillized
tranquilizer ~ tranquillizer
tranquilizers ~ tranquillizers
tranquilizes ~ tranquillizes
tranquilizing ~ tranquillizing
traveled ~ travelled
traveler ~ traveller
travelers ~ travellers
traveling ~ travelling
travelings ~ travellings
trialed ~ trialled
trialing ~ trialling
tunneled ~ tunnelled
tunneling ~ tunnelling
tunnelings ~ tunnellings
unequaled ~ unequalled
unraveled ~ unravelled
unraveling ~ unravelling
unrivaled ~ unrivalled
untrammeled ~ untrammelled
weaseled ~ weaselled
weaseling ~ weaselling
woolen ~ woollen
woolens ~ woollens
woolier ~ woollier
woolies ~ woollies
wooliest ~ woolliest
wooly ~ woolly
yodeled ~ yodelled
yodeling ~ yodelling

// se => ce

defense ~ defence
defenseless ~ defenceless
defenses ~ defences
offense ~ offence
offenses ~ offences
vise ~ vice
vises ~ vices

// oe => e, ae => e

abetalipoproteinaemia ~ abetalipoproteinemia
aeon ~ eon
aeons ~ eons
aetiology ~ etiology
agammaglobulinaemia ~ agammaglobulinemia
albuminaemia ~ albuminemia
alcoholaemia ~ alcoholemia
anaemia ~ anemia
anaemias ~ anemias
anaemic ~ anemic
anaesthesia ~ anesthesia
anaesthesias ~ anesthesias
anaesthetic ~ anesthetic
anaesthetics ~ anesthetics
anaesthetist ~ anesthetist
anaesthetists ~ anesthetists
anaesthetize ~ anesthetize
anaesthetized ~ anesthetized
anaesthetizes ~ anesthetizes
anaesthetizing ~ anesthetizing
anoxaemia ~ anoxemia
antigenaemia ~ antigenemia
antileukaemic ~ antileukemic
azotaemia ~ azotemia
bacteraemia ~ bacteremia
bougainvillaea ~ bougainvillea
bougainvillaeas ~ bougainvilleas
caesium ~ cesium
carboxyhaemoglobin ~ carboxyhemoglobin
caesarean ~ cesarean
chimaera ~ chimera
chimaeras ~ chimeras
chimaeric ~ chimeric
cholesterolaemia ~ cholesterolemia
cryoglobulinaemia ~ cryoglobulinemia
cyclopaedia ~ cyclopedia
deoxyhaemoglobin ~ deoxyhemoglobin
diarrhoea ~ diarrhea
diarrhoeas ~ diarrheas
dysbetalipoproteinaemia ~ dysbetalipoproteinemia
dyslipidaemia ~ dyslipidemia
encyclopaedia ~ encyclopedia
encyclopaediae ~ encyclopediae
encyclopaedias ~ encyclopedias
encyclopaedic ~ encyclopedic
endotoxaemia ~ endotoxemia
euglycaemia ~ euglycemia
faecal ~ fecal
faeces ~ feces
foetal ~ fetal
foetid ~ fetid
foetus ~ fetus
foetuses ~ fetuses
fungaemia ~ fungemia
galactosaemia ~ galactosemia
glycaemia ~ glycemia
gonorrhoea ~ gonorrhea
gonorrhoeas ~ gonorrheas
gynaecological ~ gynecological
gynaecologies ~ gynecologies
gynaecologist ~ gynecologist
gynaecologists ~ gynecologists
gynaecology ~ gynecology
haematein ~ hematein
haemateins ~ hemateins
haematocele ~ hematocele
haematocrit ~ hematocrit
haematocrits ~ hematocrits
haematogenous ~ hematogenous
haematological ~ hematological
haematologist ~ hematologist
haematologists ~ hematologists
haematology ~ hematology
haematoma ~ hematoma
haematomas ~ hematomas
haematophagous ~ hematophagous
haematopoiesis ~ hematopoiesis
haematopoietic ~ hematopoietic
haematoxylin ~ hematoxylin
haematoxylins ~ hematoxylins
haemochromatosis ~ hemochromatosis
haemocoel ~ hemocoel
