// gr-dict 1.0
// Unidirectional mapping of different dialect words to their American spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// ou => o (colour => color, mould => mold)

miscolours ~ miscolors
misdemeanour ~ misdemeanor
misdemeanours ~ misdemeanors
monocoloured ~ monocolored
mould ~ mold
moulded ~ molded
moulder ~ molder
mouldered ~ moldered
mouldering ~ moldering
moulders ~ molders
mouldier ~ moldier
mouldiest ~ moldiest
moulding ~ molding
mouldings ~ moldings
moulds ~ molds
mouldy ~ moldy
moult ~ molt
moulted ~ molted
moulting ~ molting
moults ~ molts
multi-colour ~ multi-color
multi-coloured ~ multi-colored
multicolour ~ multicolor
multicoloured ~ multicolored
multicolours ~ multicolors
neighbour ~ neighbor
neighbourhood ~ neighborhood
neighbourhoods ~ neighborhoods
neighbouring ~ neighboring
neighbourliness ~ neighborliness
neighbourly ~ neighborly
neighbours ~ neighbors
neutral-coloured ~ neutral-colored
odour ~ odor
odourless ~ odorless
odours ~ odors
off-colour ~ off-color
olive-coloured ~ olive-colored
orange-coloured ~ orange-colored
overcolour ~ overcolor
overcoloured ~ overcolored
parlour ~ parlor
parlourmaid ~ parlormaid
parlourmaids ~ parlormaids
parlours ~ parlors
particoloured ~ particolored
peachy-coloured ~ peachy-colored
pernickety ~ persnickety
pretour ~ pretor
pretours ~ pretors
pseudocolour ~ pseudocolor
pseudocoloured ~ pseudocolored
pseudocolouring ~ pseudocoloring
pseudocolours ~ pseudocolors
pseudotumour ~ pseudotumor
pseudotumours ~ pseudotumors
rancour ~ rancor
recolour ~ recolor
recolourable ~ recolorable
recolouration ~ recoloration
recolourations ~ recolorations
recoloured ~ recolored
recolourin' ~ recolorin'
recolouring ~ recoloring
recolours ~ recolors
remould ~ remold
remoulded ~ remolded
remoulding ~ remolding
remoulds ~ remolds
rigour ~ rigor
rigours ~ rigors
rose-coloured ~ rose-colored
rumour ~ rumor
rumoured ~ rumored
rumouring ~ rumoring
rumourmonger ~ rumormonger
rumourmongers ~ rumormongers
rumours ~ rumors
saviour ~ savior
saviours ~ saviors
savour ~ savor
savoured ~ savored
savouries ~ savories
savouring ~ savoring
savours ~ savors
savoury ~ savory
self-coloured ~ self-colored
smoulder ~ smolder
smouldered ~ smoldered
smouldering ~ smoldering
smoulders ~ smolders
snuff-colour ~ snuff-color
solid-coloured ~ solid-colored
splendour ~ splendor
splendours ~ splendors
straw-coloured ~ straw-colored
succour ~ succor
succoured ~ succored
succouring ~ succoring
succours ~ succors
tabour ~ tabor
tabours ~ tabors
tawny-coloured ~ tawny-colored
technicolour ~ technicolor
technicoloured ~ technicolored
topcolour ~ topcolor
torpour ~ torpor
tricolour ~ tricolor
tricoloured ~ tricolored
tricolourous ~ tricolorous
tricolours ~ tricolors
tumour ~ tumor
tumours ~ tumors
uncolourable ~ uncolorable
uncoloured ~ uncolored
uncolourful ~ uncolorful
unfavourable ~ unfavorable
unfavourably ~ unfavorably
unicolour ~ unicolor
unicolourous ~ unicolorous
unsavoury ~ unsavory
valour ~ valor
vapour ~ vapor
vapoured ~ vapored
vapouring ~ vaporing
vapours ~ vapors
