// gr-dict 1.0
// Unidirectional transformation from British spelled words to their American
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

subsidisers ~ subsidizers
subsidiser ~ subsidizer
subsidised ~ subsidized
subsidise ~ subsidize
subsidisations ~ subsidizations
subsidisation ~ subsidization
stylised ~ stylized
stylise ~ stylize
storey ~ story
storeys ~ stories
//storyed storied
stigmatising ~ stigmatizing
stigmatises ~ stigmatizes
stigmatised ~ stigmatized
stigmatise ~ stigmatize
stigmatisations ~ stigmatizations
stigmatisation ~ stigmatization
sterilising ~ sterilizing
sterilises ~ sterilizes
sterilisers ~ sterilizers
steriliser ~ sterilizer
sterilised ~ sterilized
sterilise ~ sterilize
sterilisations ~ sterilizations
sterilisation ~ sterilization
stencilling ~ stenciling
stencilled ~ stenciled
standardising ~ standardizing
standardises ~ standardizes
standardised ~ standardized
standardise ~ standardize
standardisations ~ standardizations
standardisation ~ standardization
stabilising ~ stabilizing
stabilises ~ stabilizes
stabilisers ~ stabilizers
stabiliser ~ stabilizer
stabilised ~ stabilized
stabilise ~ stabilize
stabilisation ~ stabilization
squirrelling ~ squirreling
squirrelled ~ squirreled
splendours ~ splendors
splendour ~ splendor
spiralling ~ spiraling
spiralled ~ spiraled
spilt ~ spilled
spelt ~ spelled
spectres ~ specters
spectre ~ specter
speciality ~ specialty
specialities ~ specialties
specialising ~ specializing
specialises ~ specializes
specialised ~ specialized
specialise ~ specialize
specialisations ~ specializations
specialisation ~ specialization
south-wests ~ southwests
south-west ~ southwest
south-easts ~ southeasts
south-east ~ southeast
sombrest ~ somberest
sombrer ~ somberer
sombre ~ somber
solemnising ~ solemnizing
solemnises ~ solemnizes
solemnised ~ solemnized
solemnise ~ solemnize
sodomising ~ sodomizing
sodomises ~ sodomizes
sodomised ~ sodomized
sodomise ~ sodomize
socialising ~ socializing
socialises ~ socializes
socialised ~ socialized
socialise ~ socialize
socialisations ~ socializations
socialisation ~ socialization
snowploughs ~ snowplows
snowploughing ~ snowplowing
snowploughed ~ snowplowed
snowplough ~ snowplow
snorkelling ~ snorkeling
snorkelled ~ snorkeled
snivelling ~ sniveling
